Toll Date,Day of Week,Toll Week,Time Period,Vehicle Class,CRZ Entries,Estimated Rate,Estimated Revenue
2025-01-23,Thursday,2025-01-19,Overnight,Single-Unit Trucks,2566,3.6,7390.08
2025-01-23,Thursday,2025-01-19,Overnight,Multi-Unit Trucks,547,5.4,2363.04
2025-01-23,Thursday,2025-01-19,Overnight,Buses,803,3.69,2370.46
2025-01-23,Thursday,2025-01-19,Overnight,Motorcycles,181,1.05,152.04
2025-01-23,Thursday,2025-01-19,Overnight,TLC Taxi/FHV,46454,1.13,41994.42
2025-01-23,Thursday,2025-01-19,Peak,Passenger Cars & Vans,244026,9.0,1756987.2
2025-01-23,Thursday,2025-01-19,Peak,Single-Unit Trucks,21061,14.4,242622.71
2025-01-23,Thursday,2025-01-19,Peak,Multi-Unit Trucks,1920,21.6,33177.6
2025-01-23,Thursday,2025-01-19,Peak,Buses,9846,14.76,116261.57
2025-01-23,Thursday,2025-01-19,Peak,Motorcycles,1245,4.5,4482.0
2025-01-23,Thursday,2025-01-19,Peak,TLC Taxi/FHV,145371,1.13,131415.38
2025-01-24,Friday,2025-01-19,Overnight,Passenger Cars & Vans,49268,2.25,88682.4
2025-01-24,Friday,2025-01-19,Overnight,Single-Unit Trucks,2626,3.6,7562.88
2025-01-24,Friday,2025-01-19,Overnight,Multi-Unit Trucks,545,5.4,2354.4
2025-01-24,Friday,2025-01-19,Overnight,Buses,820,3.69,2420.64
2025-01-24,Friday,2025-01-19,Overnight,Motorcycles,263,1.05,220.92
2025-01-24,Friday,2025-01-19,Overnight,TLC Taxi/FHV,48168,1.13,43543.87
2025-01-24,Friday,2025-01-19,Peak,Passenger Cars & Vans,237039,9.0,1706680.8
2025-01-24,Friday,2025-01-19,Peak,Single-Unit Trucks,21252,14.4,244823.03
2025-01-24,Friday,2025-01-19,Peak,Multi-Unit Trucks,1948,21.6,33661.44
2025-01-24,Friday,2025-01-19,Peak,Buses,9514,14.76,112341.31
2025-01-24,Friday,2025-01-19,Peak,Motorcycles,1349,4.5,4856.4
2025-01-24,Friday,2025-01-19,Peak,TLC Taxi/FHV,137239,1.13,124064.06
2025-01-25,Saturday,2025-01-19,Overnight,Passenger Cars & Vans,94282,2.25,169707.6
2025-01-25,Saturday,2025-01-19,Overnight,Single-Unit Trucks,4535,3.6,13060.8
2025-01-25,Saturday,2025-01-19,Overnight,Multi-Unit Trucks,720,5.4,3110.4
2025-01-25,Saturday,2025-01-19,Overnight,Buses,1527,3.69,4507.7
2025-01-25,Saturday,2025-01-19,Overnight,Motorcycles,389,1.05,326.76
2025-01-25,Saturday,2025-01-19,Overnight,TLC Taxi/FHV,79959,1.13,72282.94
2025-01-25,Saturday,2025-01-19,Peak,Passenger Cars & Vans,189462,9.0,1364126.4
2025-01-25,Saturday,2025-01-19,Peak,Single-Unit Trucks,5472,14.4,63037.44
2025-01-25,Saturday,2025-01-19,Peak,Multi-Unit Trucks,500,21.6,8640.0
2025-01-25,Saturday,2025-01-19,Peak,Buses,3215,14.76,37962.72
2025-01-25,Saturday,2025-01-19,Peak,Motorcycles,1215,4.5,4374.0
2025-01-25,Saturday,2025-01-19,Peak,TLC Taxi/FHV,111137,1.13,100467.85
2025-01-26,Sunday,2025-01-26,Overnight,Passenger Cars & Vans,77015,2.25,138627.0
2025-01-26,Sunday,2025-01-26,Overnight,Single-Unit Trucks,2128,3.6,6128.64
2025-01-26,Sunday,2025-01-26,Overnight,Multi-Unit Trucks,328,5.4,1416.96
2025-01-26,Sunday,2025-01-26,Overnight,Buses,1285,3.69,3793.32
2025-01-26,Sunday,2025-01-26,Overnight,Motorcycles,346,1.05,290.64
2025-01-26,Sunday,2025-01-26,Overnight,TLC Taxi/FHV,72066,1.13,65147.66
2025-01-26,Sunday,2025-01-26,Peak,Passenger Cars & Vans,170273,9.0,1225965.6
