Date,Mode,Count
12/28/2024,Bus,726217
12/28/2024,AAR,19881
12/27/2024,LIRR,254609
12/27/2024,Subway,3161486
12/27/2024,BT,906118
12/27/2024,SIR,5656
12/27/2024,MNR,225114
12/27/2024,AAR,30638
12/27/2024,Bus,1058666
12/26/2024,AAR,25211
12/26/2024,Subway,2852679
12/26/2024,SIR,5222
12/26/2024,MNR,203127
12/26/2024,LIRR,240534
12/26/2024,Bus,982867
12/26/2024,BT,869094
12/25/2024,AAR,18972
12/25/2024,Subway,1378374
12/25/2024,SIR,1848
12/25/2024,MNR,66693
12/25/2024,LIRR,87185
12/25/2024,Bus,417229
12/25/2024,BT,746323
12/24/2024,BT,890220
12/24/2024,Subway,2546394
12/24/2024,SIR,4272
12/24/2024,MNR,173267
12/24/2024,LIRR,211807
12/24/2024,Bus,906044
12/24/2024,AAR,29443
12/23/2024,SIR,5776
12/23/2024,Subway,3216875
12/23/2024,MNR,210375
12/23/2024,LIRR,253495
12/23/2024,Bus,1087369
12/23/2024,BT,938009
